METADATA|Worker|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonNumber|StartDate|DateOfBirth|ActionCode
MERGE|Worker|ALTAHRN01|6090280|1996/03/18|4712/12/31|6090280|1996/03/18|1956/06/30|HIRE
MERGE|Worker|ALTAHRN01|6090410|2015/10/12|4712/12/31|6090410|2015/10/12|1964/10/03|HIRE
MERGE|Worker|ALTAHRN01|6090432|1998/08/24|4712/12/31|6090432|1998/08/24|1954/11/12|HIRE
MERGE|Worker|ALTAHRN01|6090441|2014/10/01|4712/12/31|6090441|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6090531|2003/09/01|4712/12/31|6090531|2003/09/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6090562|2009/03/01|4712/12/31|6090562|2009/03/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6090626|2003/12/01|4712/12/31|6090626|2003/12/01|1953/05/24|HIRE
MERGE|Worker|ALTAHRN01|6090686|2016/09/26|4712/12/31|6090686|2016/09/26|1971/08/20|HIRE
MERGE|Worker|ALTAHRN01|6091412|2016/08/08|4712/12/31|6091412|2016/08/08|1973/05/27|HIRE
MERGE|Worker|ALTAHRN01|6091473|2003/04/14|4712/12/31|6091473|2003/04/14|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6091653|2014/10/01|4712/12/31|6091653|2014/10/01|1962/04/06|HIRE
MERGE|Worker|ALTAHRN01|6092180|2004/11/01|4712/12/31|6092180|2004/11/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6092331|2003/12/08|4712/12/31|6092331|2003/12/08|1979/10/04|HIRE
MERGE|Worker|ALTAHRN01|6093271|2014/10/01|4712/12/31|6093271|2014/10/01|1967/11/21|HIRE
MERGE|Worker|ALTAHRN01|6093298|2001/04/02|4712/12/31|6093298|2001/04/02|1966/09/04|HIRE
MERGE|Worker|ALTAHRN01|6093300|2010/10/01|4712/12/31|6093300|2010/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6093301|1999/04/26|4712/12/31|6093301|1999/04/26|1967/10/26|HIRE
MERGE|Worker|ALTAHRN01|6093325|2014/10/01|4712/12/31|6093325|2014/10/01|1967/04/24|HIRE
MERGE|Worker|ALTAHRN01|6093480|2006/03/06|4712/12/31|6093480|2006/03/06|1977/08/26|HIRE
MERGE|Worker|ALTAHRN01|6093817|2002/01/14|4712/12/31|6093817|2002/01/14|1980/07/06|HIRE
MERGE|Worker|ALTAHRN01|6093932|1999/12/31|4712/12/31|6093932|1999/12/31|1975/05/10|HIRE
MERGE|Worker|ALTAHRN01|6094584|2001/09/01|4712/12/31|6094584|2001/09/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6094820|2001/04/30|4712/12/31|6094820|2001/04/30|1980/06/23|HIRE
MERGE|Worker|ALTAHRN01|6095168|1997/09/08|4712/12/31|6095168|1997/09/08|1983/02/27|HIRE
MERGE|Worker|ALTAHRN01|6095282|1999/12/31|4712/12/31|6095282|1999/12/31|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6095467|2014/10/01|4712/12/31|6095467|2014/10/01|1952/10/02|HIRE
MERGE|Worker|ALTAHRN01|6096173|2006/05/01|4712/12/31|6096173|2006/05/01|1971/12/29|HIRE
MERGE|Worker|ALTAHRN01|6096183|2014/10/01|4712/12/31|6096183|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6096327|1997/09/01|4712/12/31|6096327|1997/09/01|1986/09/03|HIRE
