METADATA|Assignment|SourceSystemOwner|SourceSystemId|ActionCode|EffectiveStartDate|EffectiveEndDate|EffectiveSequence|EffectiveLatestChange|WorkTermsAssignmentId(SourceSystemId)|AssignmentName|AssignmentNumber|AssignmentStatusTypeCode|PersonTypeCode|PositionId(SourceSystemId)|BusinessUnitShortCode|LocationCode|JobCode|PrimaryAssignmentFlag
MERGE|Assignment|ALTAHRN01|5509786_EMP_ASG|HIRE|2016/03/21|4712/12/31|1|Y|5509786_EMP_TERM|5509786|5509786|ACTIVE_PROCESS|Employee|131443|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509813_EMP_ASG|HIRE|1995/06/24|4712/12/31|1|Y|5509813_EMP_TERM|5509813|5509813|ACTIVE_PROCESS|Employee|131444|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509815_EMP_ASG|HIRE|1995/05/15|4712/12/31|1|Y|5509815_EMP_TERM|5509815|5509815|ACTIVE_PROCESS|Employee|131445|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509820_EMP_ASG|HIRE|2016/03/21|4712/12/31|1|Y|5509820_EMP_TERM|5509820|5509820|ACTIVE_PROCESS|Employee|131460|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509832_EMP_ASG|HIRE|1995/06/24|4712/12/31|1|Y|5509832_EMP_TERM|5509832|5509832|ACTIVE_PROCESS|Employee|131461|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509834_EMP_ASG|HIRE|2007/04/02|4712/12/31|1|Y|5509834_EMP_TERM|5509834|5509834|ACTIVE_PROCESS|Employee|131462|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509848_EMP_ASG|HIRE|2004/07/01|4712/12/31|1|Y|5509848_EMP_TERM|5509848|5509848|ACTIVE_PROCESS|Employee|131463|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509850_EMP_ASG|HIRE|1997/02/01|4712/12/31|1|Y|5509850_EMP_TERM|5509850|5509850|ACTIVE_PROCESS|Employee|131464|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509851_EMP_ASG|HIRE|1976/06/21|4712/12/31|1|Y|5509851_EMP_TERM|5509851|5509851|ACTIVE_PROCESS|Employee|131465|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509852_EMP_ASG|HIRE|2013/10/01|4712/12/31|1|Y|5509852_EMP_TERM|5509852|5509852|ACTIVE_PROCESS|Employee|131466|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509861_EMP_ASG|HIRE|2005/05/16|4712/12/31|1|Y|5509861_EMP_TERM|5509861|5509861|ACTIVE_PROCESS|Employee|131467|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509870_EMP_ASG|HIRE|1988/05/03|4712/12/31|1|Y|5509870_EMP_TERM|5509870|5509870|ACTIVE_PROCESS|Employee|131468|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509888_EMP_ASG|HIRE|1969/07/28|4712/12/31|1|Y|5509888_EMP_TERM|5509888|5509888|ACTIVE_PROCESS|Employee|131469|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509889_EMP_ASG|HIRE|1980/10/01|4712/12/31|1|Y|5509889_EMP_TERM|5509889|5509889|ACTIVE_PROCESS|Employee|131470|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509900_EMP_ASG|HIRE|2016/03/07|4712/12/31|1|Y|5509900_EMP_TERM|5509900|5509900|ACTIVE_PROCESS|Employee|131471|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5509905_EMP_ASG|HIRE|1996/10/21|4712/12/31|1|Y|5509905_EMP_TERM|5509905|5509905|ACTIVE_PROCESS|Employee|131472|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
